date,news_article_count,news_negative_hits,news_positive_hits,news_risk_score
2026-01-31,75,13,2,100.0
2026-02-01,75,6,1,86.5
2026-02-02,75,4,1,75.5
2026-02-03,75,3,3,65.0
2026-02-04,75,6,2,84.0
2026-02-05,0,0,0,50.0
2026-02-06,75,5,1,81.0
2026-02-07,75,1,1,59.0
2026-02-08,0,0,0,50.0
2026-02-09,0,0,0,50.0
2026-02-10,75,12,1,100.0
2026-02-11,0,0,0,50.0
2026-02-12,75,12,3,100.0
2026-02-13,0,0,0,50.0
2026-02-14,0,0,0,50.0
2026-02-15,0,0,0,50.0
2026-02-16,75,7,5,82.0
2026-02-17,75,22,0,100.0
2026-02-18,75,4,2,73.0
2026-02-19,0,0,0,50.0
2026-02-20,75,8,4,90.0
2026-02-21,0,0,0,50.0
2026-02-22,0,0,0,50.0
2026-02-23,75,9,3,98.0
2026-02-24,0,0,0,50.0
2026-02-25,75,7,4,84.5
2026-02-26,0,0,0,50.0
2026-02-27,0,0,0,50.0
2026-02-28,0,0,0,50.0
2026-03-01,0,0,0,50.0
2026-03-02,75,13,2,100.0
2026-03-03,75,4,2,73.0
2026-03-04,0,0,0,50.0
2026-03-05,0,0,0,50.0
2026-03-06,0,0,0,50.0
2026-03-07,75,20,3,100.0
2026-03-08,0,0,0,50.0
2026-03-09,0,0,0,50.0
2026-03-10,0,0,0,50.0
2026-03-11,0,0,0,50.0
2026-03-12,75,26,2,100.0
2026-03-13,0,0,0,50.0
2026-03-14,75,4,2,73.0
2026-03-15,0,0,0,50.0
2026-03-16,0,0,0,50.0
2026-03-17,0,0,0,50.0
2026-03-18,75,17,2,100.0
2026-03-19,75,8,5,87.5
2026-03-20,75,11,6,100.0
2026-03-21,0,0,0,50.0
2026-03-22,0,0,0,50.0
2026-03-23,0,0,0,50.0
2026-03-24,75,26,5,100.0
2026-03-25,0,0,0,50.0
2026-03-26,75,3,5,60.0
2026-03-27,75,66,2,100.0
2026-03-28,0,0,0,50.0
2026-03-29,0,0,0,50.0
2026-03-30,0,0,0,50.0
2026-03-31,0,0,0,50.0
2026-04-01,75,6,3,81.5
2026-04-02,0,0,0,50.0
2026-04-03,75,14,5,100.0
2026-04-04,0,0,0,50.0
2026-04-05,75,2,3,59.5
2026-04-06,75,3,0,72.5
2026-04-07,0,0,0,50.0
2026-04-08,75,6,10,64.0
2026-04-09,75,16,4,100.0
2026-04-10,75,15,2,100.0
2026-04-11,75,3,5,60.0
2026-04-12,75,5,1,81.0
2026-04-13,0,0,0,50.0
2026-04-14,0,0,0,50.0
2026-04-15,0,0,0,50.0
2026-04-16,75,4,4,68.0
2026-04-17,75,7,4,84.5
2026-04-18,75,6,0,89.0
2026-04-19,75,11,0,100.0
2026-04-20,0,0,0,50.0
2026-04-21,75,7,6,79.5
2026-04-22,75,6,4,79.0
2026-04-23,75,25,2,100.0
2026-04-24,0,0,0,50.0
2026-04-25,75,7,1,92.0
2026-04-26,75,3,4,62.5
2026-04-27,75,13,4,100.0
2026-04-28,75,10,2,100.0
2026-04-29,0,0,0,50.0
2026-04-30,75,13,1,100.0
2026-05-01,75,8,5,87.5
2026-05-02,25,3,1,66.0
2026-05-03,25,1,0,57.5
2026-05-04,0,0,0,50.0
2026-05-05,0,0,0,50.0
2026-05-06,0,0,0,50.0
2026-05-07,0,0,0,50.0
2026-05-08,25,5,0,79.5
2026-05-09,0,0,0,50.0
2026-05-10,25,0,1,49.5
2026-05-11,0,0,0,50.0
2026-05-12,0,0,0,50.0
2026-05-13,25,5,1,77.0
2026-05-14,0,0,0,50.0
2026-05-15,25,15,2,100.0
2026-05-16,0,0,0,50.0
2026-05-17,0,0,0,50.0
2026-05-18,25,3,2,63.5
2026-05-19,25,9,0,100.0
2026-05-20,25,8,1,93.5
2026-05-21,0,0,0,50.0
2026-05-22,0,0,0,50.0
2026-05-23,25,1,1,55.0
2026-05-24,25,3,0,68.5
2026-05-25,0,0,0,50.0
2026-05-26,0,0,0,50.0
2026-05-27,25,4,1,71.5
2026-05-28,0,0,0,50.0
2026-05-29,0,0,0,50.0
2026-05-30,25,2,1,60.5
2026-05-31,0,0,0,50.0
